val_cohort,roc_auc,log_loss,pr_auc
2016-02-01..2016-03-01,0.8436605813073456,0.30115497961435067,0.5629381041959285
2016-04-01..2016-05-01,0.9002927742877981,0.15519890441259343,0.5795964467655684
2016-06-01..2016-07-01,0.9165278942458099,0.1277319506583445,0.5708597674196959
2016-08-01..2016-09-01,0.9185952347854072,0.11912833425916863,0.5930026406578802
