,roc_auc,log_loss,pr_auc
RandomForest,0.8947691211565902,0.17580354223611433,0.5765992397597682
CatBoost,0.8988832088976174,0.1870790180983953,0.5663577975400583
XGBoost,0.8801653306999841,0.18930568319948096,0.5554964679205252
LightGBM,0.8940004169882696,0.18686306145200604,0.5532902257678102
LogReg,0.7996942140643846,0.24105322245488875,0.4582591128766327
