val_cohort,roc_auc,log_loss,pr_auc
2016-02-01..2016-03-01,0.6458414912224517,0.4700074267953286,0.3662518164484165
2016-04-01..2016-05-01,0.8125675088862448,0.19648710731925062,0.4276373440257737
2016-06-01..2016-07-01,0.862224751850113,0.15627563217932064,0.4868352196166614
2016-08-01..2016-09-01,0.8781431042987282,0.14144272352565526,0.552312071415679
